title,location,start,amount,num_person,progress
中粮广场,沈阳,"1,000.00元起投","126,000.00",126人,100
龙腾嘉园,汕头,"1,000.00元起投","112,000.00",112人,100
星辰青年广场,乐山,"1,000.00元起投","300,000.00",300人,100
联投佩尔创意SOHO,武汉,"1,000.00元起投","160,000.00",160人,100
万科城城果,南昌,800.00元起投,"420,000.00",525人,100
农房索河湾,郑州,"1,000.00元起投","255,000.00",255人,100
富力城倾城里,重庆,"1,000.00元起投","260,000.00",260人,100
群力玫瑰湾,哈尔滨,"1,000.00元起投","600,000.00",600人,100
盛泰·南湖明珠,唐山,"1,000.00元起投","300,000.00",300人,100
绿地启航国际,成都,"1,000.00元起投","146,000.00",146人,100
旭辉香樟公馆,长沙,"1,000.00元起投","270,000.00",270人,100
尚湖熙园,武汉,"1,000.00元起投","480,000.00",480人,100
邦华·星际Ⅱ,广州,"1,000.00元起投","438,000.00",188人,100
诺德名筑众筹,广州,"1,000.00元起投","859,288.00",404人,100
万科海上传奇,南昌,"1,000.00元起投","520,000.00",520人,100
郡原小石城,沈阳,"1,000.00元起投","147,000.00",147人,100
恒基旭辉府,杭州,"1,000.00元起投","447,000.00",163人,100
万朋商城,北京,"1,000.00元起投","280,000.00",280人,100
景园悦海湾,海口,"1,000.00元起投","350,000.00",170人,100
鸥鹏·泊雅湾,重庆,"1,000.00元起投","160,000.00",160人,100
智慧城淘公寓,武汉,"1,000.00元起投","100,000.00",100人,100
钱隆学府,天津,"1,000.00元起投","422,000.00",262人,100
珠江悦公馆,上海,"1,000.00元起投","620,000.00",620人,100
保利东江首府,广州,"1,000.00元起投","1,260,000.00",265人,100
新城香溢俊园,常州,"1,000.00元起投","370,000.00",370人,100
新城香溢紫郡,常州,"1,000.00元起投","320,000.00",320人,100
新城悠活城众筹,常州,"1,000.00元起投","240,000.00",134人,100
新世纪君汇半岛,东莞,"1,000.00元起投","550,000.00",181人,100
美克嘉美湾众筹,天津,"1,000.00元起投","350,000.00",101人,100
联发瞰青,重庆,"1,000.00元起投","535,000.00",174人,100
万科城众筹买房,苏州,"1,000.00元起投","540,000.00",540人,100
开维生态城,海南,"1,000.00元起投","370,000.00",199人,100
龙湖时光星座,成都,"1,000.00元起投","200,000.00",200人,100
凤翔湖滨世纪,福州,"1,000.00元起投","224,000.00",224人,100
创融嘉天地,上海,"1,000.00元起投","250,000.00",250人,100
绿地中心468公馆,成都,"1,000.00元起投","468,000.00",468人,100
永恒理想世界,郑州,"1,000.00元起投","495,000.00",495人,100
万科mixtown,上海,"1,000.00元起投","450,000.00",450人,100
时代倾城众筹,珠海,"1,000.00元起投","440,000.00",186人,100
鸿坤理想湾众筹,北京,"1,000.00元起投","380,000.00",380人,100
世茂首府众筹,宁波,"1,000.00元起投","1,240,000.00",700人,100
